## [iView]
## Converted from:	C:\Users\Jessica\Desktop\Manip SMI\Tests\Oeil droit\subject-23.idf
## Date:	21.03.2017 17:15:00
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	126
## Uses Plane File:	False
## Number of Samples:	42160                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	participant                                                                                                                                                                                                                                                     
## Description:	experiment                                                                                                                                                                                                                                                      
## [Calibration]
## Calibration Type:	9-point
## Calibration Area:	1366	768
## Calibration Point 0:	Position(684;385)
## Calibration Point 1:	Position(68;38)
## Calibration Point 2:	Position(1300;38)
## Calibration Point 3:	Position(68;732)
## Calibration Point 4:	Position(1300;732)
## Calibration Point 5:	Position(68;385)
## Calibration Point 6:	Position(684;38)
## Calibration Point 7:	Position(1300;385)
## Calibration Point 8:	Position(684;732)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IRX0940001-1426
## Operating System :	6.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	R POR X [px]	R POR Y [px]	Frame	Aux1
413901140	SMP	1	460.79	683.25		
413905120	SMP	1	461.35	680.90		
413909151	SMP	1	461.22	679.96		
413913133	SMP	1	461.58	678.38		
413917137	SMP	1	461.83	677.79		
413921124	SMP	1	461.64	677.01		
413925139	SMP	1	460.76	677.06		
413929116	SMP	1	459.45	676.73		
413933174	SMP	1	459.45	674.71		
413937117	SMP	1	459.33	675.24		
413941118	SMP	1	459.82	675.88		
413945152	SMP	1	460.10	675.89		
413949138	SMP	1	460.64	676.75		
413953122	SMP	1	461.40	677.26		
413957121	SMP	1	461.49	678.25		
413961146	SMP	1	462.08	679.09		
413965139	SMP	1	462.62	679.28		
413969120	SMP	1	462.90	680.37		
413973134	SMP	1	463.54	680.93		
413977149	SMP	1	463.35	682.75		
413981166	SMP	1	463.66	683.79		
413985117	SMP	1	463.71	684.62		
413989104	SMP	1	463.85	685.53		
413993129	SMP	1	463.83	685.09		
413997144	SMP	1	464.10	685.13		
414001120	SMP	1	464.40	685.28		
414005118	SMP	1	464.67	684.81		
414009121	SMP	1	465.73	681.39		
414013140	SMP	1	466.91	683.20		
414017116	SMP	1	468.19	681.89		
414021117	SMP	1	469.27	681.23		
414025117	SMP	1	469.46	681.81		
414029139	SMP	1	471.14	678.46		
414033129	SMP	1	470.64	679.71		
414037121	SMP	1	472.08	676.87		
414041118	SMP	1	471.52	679.61		
414045179	SMP	1	471.49	680.27		
414049127	SMP	1	471.77	677.93		
414053110	SMP	1	470.94	678.29		
414057119	SMP	1	468.93	680.54		
414061142	SMP	1	466.73	680.62		
414065123	SMP	1	463.75	672.26		
414069120	SMP	1	462.20	665.51		
414073130	SMP	1	457.48	651.87		
414077146	SMP	1	453.77	639.51		
414081125	SMP	1	451.89	622.52		
414085118	SMP	1	451.60	628.51		
414089119	SMP	1	450.42	628.04		
414093136	SMP	1	449.36	626.32		
414097112	SMP	1	448.07	626.89		
414101124	SMP	1	447.28	626.48		
414105139	SMP	1	447.08	625.33		
414109135	SMP	1	447.33	624.97		
414113107	SMP	1	447.74	623.38		
414117128	SMP	1	448.64	623.10		
414121124	SMP	1	450.26	623.17		
414125132	SMP	1	452.00	624.89		
414129126	SMP	1	452.78	625.57		
414133129	SMP	1	453.47	626.41		
414137119	SMP	1	453.72	626.70		
414141113	SMP	1	454.26	626.59		
414145119	SMP	1	455.22	626.52		
414149123	SMP	1	455.32	625.87		
414153117	SMP	1	455.61	624.99		
414157113	SMP	1	455.43	624.22		
414161118	SMP	1	455.49	623.81		
414165127	SMP	1	454.75	624.05		
414169151	SMP	1	453.81	623.91		
